"PLT_CN","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"40404876010690",56,2,3,83143,"ID560200383143","56003"
"40404879010690",56,2,3,80153,"ID560200380153","56003"
"40404886010690",56,2,3,86397,"ID560200386397","56003"
"40404893010690",56,2,3,85901,"ID560200385901","56003"
"40404894010690",56,2,3,90221,"ID560200390221","56003"
"40404899010690",56,2,3,85144,"ID560200385144","56003"
"40404903010690",56,2,3,80353,"ID560200380353","56003"
"40404916010690",56,2,3,85420,"ID560200385420","56003"
"40404921010690",56,2,3,85403,"ID560200385403","56003"
"40404925010690",56,2,3,87744,"ID560200387744","56003"
"40404930010690",56,2,3,89093,"ID560200389093","56003"
"40404939010690",56,2,3,86981,"ID560200386981","56003"
"40404940010690",56,2,3,85570,"ID560200385570","56003"
"40404944010690",56,2,3,83813,"ID560200383813","56003"
"40404948010690",56,2,3,81093,"ID560200381093","56003"
"40404966010690",56,2,3,84998,"ID560200384998","56003"
"40406042010690",56,2,19,80535,"ID560201980535","56019"
"40406044010690",56,2,19,80030,"ID560201980030","56019"
"40406045010690",56,2,19,80759,"ID560201980759","56019"
"40406047010690",56,2,19,89515,"ID560201989515","56019"
"40406048010690",56,2,19,88335,"ID560201988335","56019"
"40406049010690",56,2,19,80173,"ID560201980173","56019"
"40406053010690",56,2,19,83314,"ID560201983314","56019"
"40406059010690",56,2,19,81895,"ID560201981895","56019"
"40406064010690",56,2,19,81451,"ID560201981451","56019"
"40406065010690",56,2,19,81022,"ID560201981022","56019"
"40406069010690",56,2,19,87377,"ID560201987377","56019"
"40406070010690",56,2,19,84586,"ID560201984586","56019"
"40406075010690",56,2,19,86816,"ID560201986816","56019"
"40406081010690",56,2,19,85278,"ID560201985278","56019"
"40406082010690",56,2,19,87848,"ID560201987848","56019"
"40406085010690",56,2,19,87610,"ID560201987610","56019"
"40406086010690",56,2,19,84201,"ID560201984201","56019"
"40406090010690",56,2,19,90267,"ID560201990267","56019"
"40406947010690",56,2,33,88166,"ID560203388166","56033"
"40406948010690",56,2,33,82099,"ID560203382099","56033"
"40406952010690",56,2,33,82446,"ID560203382446","56033"
"40406961010690",56,2,33,87062,"ID560203387062","56033"
"40406970010690",56,2,33,90061,"ID560203390061","56033"
"40406976010690",56,2,33,88839,"ID560203388839","56033"
"40406977010690",56,2,33,89495,"ID560203389495","56033"
"40406978010690",56,2,33,86120,"ID560203386120","56033"
"40406986010690",56,2,33,89028,"ID560203389028","56033"
"40406999010690",56,2,33,87457,"ID560203387457","56033"
"40407000010690",56,2,33,89767,"ID560203389767","56033"
"40407005010690",56,2,33,90348,"ID560203390348","56033"
"40407006010690",56,2,33,88657,"ID560203388657","56033"
"40407012010690",56,2,33,87586,"ID560203387586","56033"
"40407013010690",56,2,33,85208,"ID560203385208","56033"
"40407022010690",56,2,33,89414,"ID560203389414","56033"
"40407024010690",56,2,33,84145,"ID560203384145","56033"
"40407027010690",56,2,33,88483,"ID560203388483","56033"
"40407029010690",56,2,33,83085,"ID560203383085","56033"
"40407733010690",56,2,43,87298,"ID560204387298","56043"
"40407737010690",56,2,43,85461,"ID560204385461","56043"
"40407743010690",56,2,43,89052,"ID560204389052","56043"
"40416368010690",56,2,3,84347,"ID560200384347","56003"
"40416377010690",56,2,3,85350,"ID560200385350","56003"
"40416392010690",56,2,3,89252,"ID560200389252","56003"
"40416393010690",56,2,3,81295,"ID560200381295","56003"
"40416399010690",56,2,3,86419,"ID560200386419","56003"
"40416400010690",56,2,3,81609,"ID560200381609","56003"
"40416424010690",56,2,3,84572,"ID560200384572","56003"
"40416425010690",56,2,3,80811,"ID560200380811","56003"
"40416433010690",56,2,3,84810,"ID560200384810","56003"
"40416434010690",56,2,3,85469,"ID560200385469","56003"
"40416435010690",56,2,3,88117,"ID560200388117","56003"
"40416447010690",56,2,3,89784,"ID560200389784","56003"
"40416448010690",56,2,3,82917,"ID560200382917","56003"
"40416450010690",56,2,3,86852,"ID560200386852","56003"
"40416461010690",56,2,3,86666,"ID560200386666","56003"
"40416462010690",56,2,3,81002,"ID560200381002","56003"
"40416472010690",56,2,3,88185,"ID560200388185","56003"
"40416473010690",56,2,3,86689,"ID560200386689","56003"
"40416485010690",56,2,3,81520,"ID560200381520","56003"
"40416486010690",56,2,3,88923,"ID560200388923","56003"
"40416501010690",56,2,3,84980,"ID560200384980","56003"
"40416502010690",56,2,3,89479,"ID560200389479","56003"
"40416503010690",56,2,3,88518,"ID560200388518","56003"
"40416515010690",56,2,3,84417,"ID560200384417","56003"
"40416517010690",56,2,3,80875,"ID560200380875","56003"
"40416518010690",56,2,3,85145,"ID560200385145","56003"
"40416529010690",56,2,3,88686,"ID560200388686","56003"
"40416545010690",56,2,3,82203,"ID560200382203","56003"
"40416546010690",56,2,3,85499,"ID560200385499","56003"
"40416572010690",56,2,3,84630,"ID560200384630","56003"
"40416573010690",56,2,3,88221,"ID560200388221","56003"
